stationReference,value,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow
000008,1.2,Rainfall station,53.480556,-1.441674,,,,
000028,0.2,Rainfall station,53.500289,-1.673575,,,,
000075TP,0.0,Rainfall station,51.084022,-0.214597,,,,
000076TP,0.0,Rainfall station,51.701508,-0.747539,,,,
000180TP,0.0,Rainfall station,51.618838,0.173236,,,,
000181TP,0.0,Rainfall station,51.730021,0.040992,,,,
000182TP,0.0,Rainfall station,51.885257,-0.156869,,,,
000900,0.0,Rainfall station,55.591879,-1.854785,,,,
000997,0.0,Rainfall station,55.58067,-1.645446,,,,
003066,0.2,Rainfall station,55.350136,-2.171067,,,,
003232,0.0,Rainfall station,55.312483,-1.909373,,,,
004942,0.0,Rainfall station,55.347002,-1.630189,,,,
005588,0.2,Rainfall station,55.174997,-1.521877,,,,
005782,0.0,Rainfall station,55.154354,-1.944254,,,,
006077,0.0,Rainfall station,55.207377,-2.040032,,,,
006403,0.0,Rainfall station,55.237908,-1.918977,,,,
007292,0.0,Rainfall station,55.033951,-1.969453,,,,
008062,0.2,Rainfall station,55.132825,-1.538065,,,,
008632,,Rainfall station,55.047076,-1.446712,,,,
008850,0.0,Rainfall station,55.255608,-2.540374,,,,
010312,0.0,Rainfall station,55.143004,-2.375693,,,,
010660,0.0,Rainfall station,55.320859,-2.396284,,,,
013045,0.0,Rainfall station,54.742208,-2.378185,,,,
0130TH,0.501,Ewen,51.674733,-1.9904,0.945,-0.948,0.99,0.0
013336,0.0,Rainfall station,54.774946,-2.516845,,,,
013553,0.0,Rainfall station,54.820161,-2.445834,,,,
013878,0.0,Rainfall station,54.871077,-2.52275,,,,
0144TH,1.339,Somerford Keynes,51.650724,-1.973061,1.484,0.325,1.6,0.363
014555,0.0,Rainfall station,54.97002,-2.500603,,,,
015347,0.0,Rainfall station,54.804602,-2.221644,,,,
0155TH,1.416,Oaksey,51.632205,-2.007169,1.887,-0.242,1.311,0.0
016140,0.0,Rainfall station,54.960162,-2.160033,,,,
017220,0.0,Rainfall station,55.01952,-1.881881,,,,
017651,0.6,Rainfall station,55.000299,-1.68497,,,,
0184TH,1.631,Purton Stoke,51.61322,-1.87404,2.34,0.481,1.89,0.504
018777,0.0,Rainfall station,54.860973,-1.670477,,,,
0190TH,0.683,Cricklade,51.646694,-1.865536,0.992,0.012,1.083,0.058
019271,0.4,Rainfall station,55.033344,-1.614307,,,,
021028,0.0,Rainfall station,54.938987,-1.393566,,,,
021228,0.0,Rainfall station,54.747962,-2.235316,,,,
022013,0.243,Callerton Lane,55.049407,-1.741713,2.24,-0.15,0.85,0.0
022163,0.0,Rainfall station,54.761631,-1.902834,,,,
022994,0.6,Rainfall station,54.624106,-1.870637,,,,
023164,0.0,Rainfall station,54.610418,-1.740626,,,,
023839,0.0,Rainfall station,54.829815,-1.807716,,,,
025394,0.0,Rainfall station,54.894495,-1.489343,,,,
025878,0.2,Rainfall station,54.823818,-1.36572,,,,
026090,0.2,Rainfall station,54.760776,-1.340287,,,,
0260TH,0.296,Cirencester,51.724451,-1.972293,1.048,-0.032,0.7000000000000001,0.078
026297,0.4,Rainfall station,54.701508,-1.198486,,,,
026644,0.0,Rainfall station,54.656189,-2.285935,,,,
026958,0.0,Rainfall station,54.683225,-2.252002,,,,
0278TH,0.81,South Cerney,51.673897,-1.934146,1.47,0.3,1.31,0.345
028185,0.0,Rainfall station,54.560368,-1.983723,,,,
028502,0.0,Rainfall station,54.504568,-2.141258,,,,
0290TH,-0.281,Cerney Wick,51.665333,-1.891795,0.709,-0.093,0.6000000000000001,0.015
030377,0.4,Rainfall station,54.526112,-1.506309,,,,
0311TH,0.983,Rushey Platt,51.553565,-1.803214,2.188,0.72,1.69,0.735
031555,0.8,Rainfall station,54.469846,-1.099639,,,,
0319TH,0.488,Rodbourne,51.571821,-1.816698,2.463,-0.046,1.32,0.034
0323SO,0.0,Rainfall station,51.246536,0.022379,,,,
032822,0.2,Rainfall station,54.633845,-1.480219,,,,
033108NE,1.4,Rainfall station,54.543358,-1.201588,,,,
034091,0.2,Rainfall station,54.596104,-1.039588,,,,
034459,0.8,Rainfall station,54.518191,-0.964175,,,,
035024NE,0.6,Rainfall station,54.505434,-0.84558,,,,
0350TH,0.0,Rainham Main FD,51.500306,0.181352,,,,
035103,0.6,Rainfall station,54.541989,-0.815179,,,,
035302,0.4,Rainfall station,54.517093,-0.752561,,,,
035305,0.8,Rainfall station,54.486239,-0.724171,,,,
035488,0.0,Rainfall station,54.438313,-0.976984,,,,
036225,0.2,Rainfall station,54.344552,-0.754715,,,,
036487,0.8,Rainfall station,54.408361,-0.754323,,,,
036704,0.4,Rainfall station,54.434842,-0.550006,,,,
037239,0.4,Rainfall station,54.27325,-0.422074,,,,
037292,0.2,Rainfall station,54.204227,-0.30358,,,,
037973,0.2,Rainfall station,54.297778,-1.167931,,,,
038476,0.0,Rainfall station,54.107252,-0.128568,,,,
0390TH,3.822,Water Eaton,51.64017,-1.826539,2.587,0.5,1.901,0.625
039163,0.0,Rainfall station,54.100377,-0.208409,,,,
039268,0.2,Rainfall station,54.04064,-0.241524,,,,
040492,0.0,Rainfall station,53.6913,-0.031959,,,,
040752,0.0,Rainfall station,53.983799,-0.227143,,,,
041238,0.0,Rainfall station,53.867134,-0.367439,,,,
041917,0.2,Rainfall station,53.805201,-0.309101,,,,
043533,0.0,Rainfall station,53.999217,-0.43093,,,,
046222,0.4,Rainfall station,53.719928,-0.676248,,,,
0470TH,0.42,Ampney St Peter,51.710647,-1.889951,1.23,-0.276,0.93,0.044
047281,0.0,Rainfall station,54.275194,-2.263325,,,,
047439,0.0,Rainfall station,54.31489,-2.180572,,,,
0490TH,0.989,Sheeppen Bridge,51.654587,-1.849612,1.108,-0.231,1.45,0.0
049902,0.2,Rainfall station,54.130296,-1.656404,,,,
0503SO,0.554,Stonebridge,51.132785,0.453941,3.4,0.02,1.78,0.082
051250,0.2,Rainfall station,54.379686,-2.105419,,,,
051729,0.2,Rainfall station,54.413883,-1.988402,,,,
052287,0.0,Rainfall station,54.409101,-1.735735,,,,
0530TH,0.937,Whetstone Bridge,51.667039,-1.816893,1.436,-0.532,1.273,-0.6000000000000001
053532,0.2,Rainfall station,54.318976,-1.637925,,,,
054371,0.6,Rainfall station,54.419203,-1.515299,,,,
054507,1.2,Rainfall station,54.382707,-1.394093,,,,
054604,0.6,Rainfall station,54.32908,-1.456389,,,,
055002_TG_301,2.88,Belmont,52.045084,-2.752202,6.987,0.083,3.8,0.175
055003_TG_316,2.607,Lugwardine,52.061919,-2.659977,2.999,0.0,2.4,0.153
055013_TG_326,0.725,Titley Mill,52.220498,-2.984666,2.398,0.042,1.0,0.062
055014_TG_306,0.855,Byton,52.276841,-2.932709,2.176,0.229,1.3,0.279
055018_TG_327,0.751,Yarkhill,52.081299,-2.563805,2.65,0.099,1.6,0.188
055021_TG_305,1.679,Butts Bridge,52.226571,-2.730348,3.756,0.717,2.6,0.763
055027_TG_328,0.285,Sandford Bridge,51.928793,-2.524006,1.229,0.026,0.313,0.075
055028_TG_9302,0.416,Bishops Frome,52.137017,-2.488532,2.075,0.079,0.9,0.123
055031_TG_329,0.144,Three Elms,52.069153,-2.743532,1.292,0.001,0.408,0.129
055040,0.646,Bromyard,52.191185,-2.501355,3.244,0.03,2.3,0.048
055041,1.391,Ford Bridge LVL,52.191958,-2.718663,,,,
055223,,Rainfall station,54.364209,-1.297407,,,,
055807_TG_320,2.537,Hereford Bridge,52.051748,-2.720173,6.111,-0.02,3.3,0.096
055811_TG_9303,2.536,Bredwardine,52.096497,-2.969481,6.991,0.093,3.8,0.27
055816_TG_319,2.976,Mordiford,52.026391,-2.629867,5.504,0.037,3.6,0.467
055817_TG_323,2.525,Ross On Wye,51.915339,-2.587573,5.1,0.0,3.2,0.254
055L010SG,0.629,Eardisland,52.223407,-2.851042,1.278,0.0,1.2,0.0
055R0521E_TG_326,0.0,Rainfall station,52.221039,-2.984386,,,,
056505,1.0,Rainfall station,54.073241,-1.337477,,,,
0569TH,3.497,Hannington Bridge,51.663588,-1.749677,4.49,1.968,3.81,2.07
057426,1.0,Rainfall station,54.18467,-1.901124,,,,
058461,0.6,Rainfall station,53.979278,-1.646973,,,,
059793,3.0,Rainfall station,53.966652,-1.115089,,,,
060947,0.0,Rainfall station,54.218703,-2.195488,,,,
061431,0.0,Rainfall station,54.163943,-2.152346,,,,
062046,0.0,Rainfall station,54.071438,-1.913617,,,,
0630TH,0.053,Fosse Bridge,51.799654,-1.885239,0.42,-0.002,0.28,0.017
063518,0.8,Rainfall station,53.876425,-1.532241,,,,
0655TH,0.068,BIBURY SPRINGS AT BIBURY (TROUT FARM),51.761338,-1.835711,,,,
0657TH,0.084,BIBURY SPRINGS AT BIBURY (SWAN HOTEL),51.761248,-1.835566,,,,
0660TH,0.158,Bibury,51.754535,-1.825522,0.524,0.035,0.4,0.081
0680TH,0.706,Fairford,51.709394,-1.783971,1.426,0.312,1.08,0.415
068762,0.4,Rainfall station,54.368186,-0.974109,,,,
0701TH,,St Johns Lock,51.68931,-1.678796,0.945,-0.265,0.25,-0.011
070365,0.0,Rainfall station,54.244415,-0.80684,,,,
0710TH,2.32,Lower Stratton,51.569689,-1.735909,4.3,0.908,2.815,0.935
0712TH,1.123,Kestrel Drive,51.563545,-1.722961,3.078,0.73,1.91,0.782
0730TH,0.936,Westmill Bridge,51.616448,-1.666745,2.556,0.317,1.85,0.372
073422,0.0,Rainfall station,54.100116,-2.164345,,,,
074108,0.0,Rainfall station,53.911448,-2.098144,,,,
074329,0.0,Rainfall station,53.986087,-1.999194,,,,
074385,0.0,Rainfall station,53.947438,-2.020525,,,,
0744SE,0.0,Rainfall station,51.266892,0.857627,,,,
074924,0.0,Rainfall station,53.829697,-1.976406,,,,
075233,0.0,Rainfall station,53.79732,-1.924807,,,,
076204,0.4,Rainfall station,53.787777,-1.627332,,,,
076413,0.6,Rainfall station,53.83349,-1.58894,,,,
077066,0.0,Rainfall station,53.70469,-2.135531,,,,
077256,0.2,Rainfall station,53.798228,-2.056887,,,,
077336,0.0,Rainfall station,53.77754,-2.084173,,,,
077800,0.0,Rainfall station,53.636457,-2.005248,,,,
077836,0.0,Rainfall station,53.657107,-1.925056,,,,
077952,0.0,Rainfall station,53.772138,-1.90361,,,,
078530,0.0,Rainfall station,53.592394,-1.929702,,,,
078772,0.2,Rainfall station,53.552738,-1.824111,,,,
078922,0.2,Rainfall station,53.60567,-1.766463,,,,
0790TH,0.524,Inglesham,51.670899,-1.700313,2.09,0.03,0.9,0.1
079621,0.4,Rainfall station,53.698015,-1.667505,,,,
080282,1.8,Rainfall station,53.679365,-1.478411,,,,
082509,0.6,Rainfall station,53.367029,-1.59795,,,,
082672,0.8,Rainfall station,53.324572,-1.539797,,,,
082732,0.6,Rainfall station,53.352459,-1.545506,,,,
083280,0.8,Rainfall station,53.194682,-1.434915,,,,
083534,0.8,Rainfall station,53.250698,-1.498624,,,,
084532,1.2,Rainfall station,53.366844,-1.351488,,,,
085322,0.4,Rainfall station,53.571934,-1.588459,,,,
085960,1.0,Rainfall station,53.527019,-1.385249,,,,
086575,0.8,Rainfall station,53.591095,-1.271011,,,,
0890TH,0.307,Lechlade,51.692891,-1.672984,0.8170000000000001,0.009,0.48,0.034
0898TH,2.484,Buscot Lock,51.68119,-1.668729,0.997,-0.299,0.35,0.0
0901TH,2.288,Grafton Lock,51.690894,-1.607898,1.11,-0.404,0.38,0.0
0902TH,2.518,Radcot Lock,51.699764,-1.573094,0.873,-0.263,0.324,0.0
0903TH,2.885,Rushey Lock,51.698716,-1.534037,0.8190000000000001,-0.27,0.297,0.008
0904SO,2.079,Vexour Bridge,51.189651,0.160853,4.123,0.04,2.9,0.603
0904TH,2.979,Shifford Lock,51.70718,-1.465193,0.728,-0.208,0.42,0.005
0911TH,0.789,Clanfield,51.719421,-1.588977,2.154,0.5670000000000001,1.025,0.613
0913TH,0.988,Bampton,51.72466,-1.54887,1.784,0.087,1.4,0.095
0924SE,0.0,Rainfall station,51.251014,1.322456,,,,
0925SE,0.0,Rainfall station,51.207877,1.383789,,,,
1003SO,0.581,West Gate Gardens,51.280821,1.073832,1.472,0.162,0.95,0.232
1020TH,0.153,Bourton Windrush,51.886693,-1.767911,0.597,0.004,0.24,0.082
1023SE,0.0,Rainfall station,51.294661,1.108973,,,,
1029TH,0.307,Bourton Dickler,51.874767,-1.740083,0.8200000000000001,0.05,0.42,0.068
1040,0.2,Rainfall station,52.309441,-1.774803,,,,
1045,0.0,Rainfall station,52.362576,-1.508732,,,,
1080TH,0.944,Worsham,51.793689,-1.564378,1.634,0.262,1.62,0.303
1082,1.0,Rainfall station,52.186855,-1.418519,,,,
1082TH,1.103,Witney,51.789786,-1.484269,2.45,0.39,1.4,0.464
1086,0.0,Rainfall station,52.174506,-1.736002,,,,
1087,0.4,Rainfall station,52.067173,-1.611177,,,,
1090_w1TH,0.34,Newbridge Weir A,51.713499,-1.420988,0.986,0.072,0.44,0.131
1090_w2TH,0.236,Newbridge Weir B,51.713499,-1.420988,0.847,-0.085,0.349,0.004
1099TH,2.266,Northmoor Lock,51.716858,-1.374624,1.35,-0.51,0.38,-0.004
1100TH,0.794,Farmoor,51.757544,-1.366384,2.006,0.508,1.3,0.5
1102TH,2.228,Pinkhill Lock,51.761748,-1.362413,1.061,-0.226,0.4,0.0
1112,0.0,Rainfall station,51.684691,-2.162673,,,,
1113,0.0,Rainfall station,51.799795,-2.148586,,,,
1113SO,0.494,Sellindge,51.099225,1.00828,1.3,0.18,0.85,0.224
1119,0.0,Rainfall station,52.031946,-2.435056,,,,
1121,0.0,Rainfall station,52.718322,-2.717219,,,,
1140,0.0,Rainfall station,51.875411,-2.019556,,,,
1141,0.0,Rainfall station,51.777374,-2.093434,,,,
1155,0.6,Rainfall station,52.417004,-1.12584,,,,
1165,0.6,Rainfall station,52.205609,-1.605581,,,,
1201,0.0,Rainfall station,52.343809,-1.955178,,,,
1201TH,2.438,Eynsham Lock,51.774692,-1.356854,1.187,-0.363,0.37,0.038
1208TH,0.505,Moreton,51.988876,-1.697906,1.461,0.087,1.21,0.095
1210TH,1.707,Evenlode Bridge,51.95095,-1.679842,2.8,0.373,1.6800000000000002,0.405
1236TH,0.173,Littlestock Brook (Temporary),51.865237,-1.618104,0.524,0.079,0.2,0.079
1238TH,1.548,Shipton,51.861678,-1.594363,3.23,0.517,2.02,0.5630000000000001
1285SO,,Black Bull Road,51.085655,1.177662,0.767,0.076,1.206,0.082
1289TH,0.719,Woodstock,51.864215,-1.356609,1.122,0.031,0.75,0.05
1290_w1TH,0.401,Cassington Weir A,51.786053,-1.351198,1.091,0.026,0.9,0.085
1290_w2TH,0.478,Cassington Weir B,51.786053,-1.351198,1.292,0.088,0.77,0.144
